year,case,,,,,
1993,21.5,21.5,21.5,,,
1994,28.6,22.92,21.784,,,
1995,59.2,30.176,23.4624,,,
1996,68.4,37.8208,26.33408,,,
1997,67.3,43.71664,29.810592,,,
1998,50.6,45.093312,32.867136,,,
1999,56,47.2746496,35.74863872,,,
2000,72.8,52.37971968,39.07485491,,,
2001,73.7,56.64377574,42.58863908,,,
2002,76.6,60.6350206,46.19791538,,b,c
2003,90.3,66.56801648,50.2719356,,4.074020219,33.97585473
2004,105.3,74.31441318,55.08043112,,4.808495516,
2005,122.2,83.89153054,60.842651,,5.762219886,
2006,125.5,92.21322444,67.11676569,,6.274114687,
2007,128.7,99.51057955,73.59552846,,6.478762772,
2008,127.1,105.0284636,79.8821155,,6.286587036,
2009,127.3,109.4827709,85.80224658,,5.920131083,
2010,131.8,113.9462167,91.43104061,,5.62879403,
2011,138,118.7569734,96.89622716,,5.465186555,
2012,148.1,124.6255787,102.4420975,,5.545870308,
2013,160,131.700463,108.2937706,,5.851673099,
2014,164.1,138.1803704,114.2710905,,5.97731996,
2015,167.3,144.0042963,120.2177317,,5.946641153,
2016,163.4,,,,0,
,,,96.17418535,,,
,,,76.93934828,,,
,,,61.55147862,,,
,,,49.2411829,,,
,,,39.39294632,,,
,,,31.51435705,,,
,,,25.21148564,,,
,,,20.16918852,,,
,,,16.13535081,,,
,,,12.90828065,,,
,,,10.32662452,,,
,,,8.261299616,,,
,,,6.609039693,,,
,,,5.287231754,,,
,,,4.229785403,,,
,,,3.383828323,,,
,,,2.707062658,,,
,,,2.165650126,,,
,,,1.732520101,,,
,,,1.386016081,,,
,,,1.108812865,,,
,,,0.887050292,,,
,,,0.709640233,,,
,,,0.567712187,,,
,,,0.454169749,,,
,,,0.3633358,,,
,,,0.29066864,,,
,,,0.232534912,,,
,,,0.186027929,,,
,,,0.148822343,,,
,,,0.119057875,,,
,,,0.0952463,,,
,,,0.07619704,,,
,,,0.060957632,,,
,,,0.048766106,,,
,,,0.039012884,,,
,,,0.031210308,,,
,,,0.024968246,,,
,,,0.019974597,,,
,,,0.015979677,,,
,,,0.012783742,,,
,,,0.010226994,,,
,,,0.008181595,,,
,,,0.006545276,,,
,,,0.005236221,,,
,,,0.004188977,,,
